Property ID,Property text,Threat ID,Threat text,Threat Description,Threat Proof of Concept,CVE,CWE,Mitigation ID,Mitigation Text,Mitigation Level,Mitigation Description,Mitigation Regulatory Mapping
PID-1241,Device includes DDR DRAM,TID-110,Hardware Fault Injection – Data Manipulation,"Certain software-executed attacks can introduce a fault to the physical hardware of the device, leading to greater access or exploit opportunities. Typically, these kinds of attacks involve performing a software action that would necessitate a predictable and controllable reaction in hardware. If this hardware action contains properties that allow for some kind of fault to occur, then the threat actor can inject the fault through software and try to leverage it into an exploit.

For example, the Rowhammer exploit demonstrates how repeated dynamic random access memory (DRAM) accesses can lead to a privilege escalation exploit. This exploit is possible through the combination of DRAM cells being placed very close together and attackers repeatedly accessing the same physical cells on the DRAM from software. This repeated access causes a leakage of electric charge within the memory, leading to a manipulation of the charge of nearby memory locations. This induced charge manipulation results in a manipulation of the contents of memory itself. By manipulating the contents of memory, the threat actor may be able to escalate privileges on a device or otherwise bypass security controls.

Another example of this is the Plundervolt exploit. In this attack, researchers demonstrated that users could use software to control the supply voltage of a secure enclave during computation, up to the point of introducing a fault in the processor itself. They were able to leverage this fault into a set of exploits where they could corrupt cryptographic signatures through voltage variability, extract cryptographic keys using differential fault analysis, or introduce memory safety vulnerabilities in otherwise bug-free code.",RowHammer (https://ieeexplore.ieee.org/document/6853210); Plundervolt (https://plundervolt.com/doc/plundervolt.pdf); CLKSCREW (https://www.usenix.org/system/files/conference/usenixsecurity17/sec17-tang.pdf),CVE-2021-42144; CVE-2021-42114,CWE-1256,MID-014,Sandboxing,intermediate,"Sandboxes are software execution environments that run code under restrictions to limit that code’s access to system resources a non-restricted user-level process would otherwise have access to. This is especially useful when handling untrusted code provided by users (e.g., a PLC program) or 3<sup>rd</sup> parties (e.g., JavaScript from a remote web site), especially when supporting such code is a mandatory device function and cannot simply be forbidden (as in MID-051).

A sandbox runtime provides only filtered and managed access to system resources. For example, an untrusted program will not have direct access to invoke kernel syscalls, read or write to files, access network interfaces, etc. The runtime can then provide only limited access to specific constrained resources governed by security policy, which can significantly reduce the risk of executing untrusted code. These protections will make lateral movement to different processes more difficult for malicious code running within a sandbox, as the code has no access to memory in those processes and has very little, to no, access to privileged function calls. Malicious code will be unable to access and manipulate data, memory, and code outside the sandbox without first finding and exploiting a vulnerability in the sandbox itself. Mobile devices running iOS and Android are a widely used example of this, running all applications in individual sandboxes to protect user data from malicious applications \[1\]\[4\]. Another example is the WebAssembly (WASM) format, initially developed to allow compiled code to safely execute in a sandbox within a web browser (similar to how JavaScript code is sandboxed) \[5\]. WASM use is growing in popularity for other environments, such as embedded systems, that can benefit from its portability and sandboxing properties \[6\]. This includes WASM runtimes optimized for embedded systems such as the Bytecode Alliance’s WebAssembly Micro Runtime (WAMR) project \[7\].

Additionally, the abstraction provided by a sandbox can be used to prevent untrusted code from exploiting vulnerabilities that require low-level access to hardware (e.g., TID-103, TID-110). For example, in response to the Spectre and Meltdown vulnerabilities, web browsers deployed changes to their JavaScript engines to reduce the resolution of timers available to JavaScript code, reducing timer accuracy below the threshold necessary to successfully exploit the timing-based side channel \[2\]\[3\]. A similar change in Chromium-based browsers eliminates a form of RowHammer that researchers crafted using JavaScript and WebGL \[2\].",SAR / EDR / HDR / NDR 3.2 – Protection from malicious code
PID-23,Device includes OS/kernel,TID-202,Exploitable System Network Stack Component,"Devices may have vulnerabilities within software used to parse various network protocols. If the device does not properly parse a protocol, a threat actor can send improperly formatted messages to the device, which may result in memory corruptions. Vulnerabilities resulting from protocol manipulation can then be used to perform remote code execution or to perform a denial-of-service attack on the device. There are a number of known complexities with network protocol parsing, including unclear protocol specifications or parsing expectation.",Broadpwn: Remotely Compromising Android and iOS via a Bug in Broadcom’s Wi-Fi Chipsets (https://blog.exodusintel.com/2017/07/26/broadpwn/); Ripple20 (https://web.archive.org/web/20250114042309/https:/www.jsof-tech.com/disclosures/ripple20/); Urgent/11 (https://www.armis.com/research/urgent-11/); AMNESIA:33 (https://www.forescout.com/resources/amnesia33-how-tcp-ip-stacks-breed-critical-vulnerabilities-in-iot-ot-and-it-devices/),CVE-2013-2811; CVE-2013-2811; CVE-2019-6529; CVE-2019-6529; CVE-2013-0662; CVE-2013-0662,CWE-20; CWE-121,MID-014,Sandboxing,intermediate,"Sandboxes are software execution environments that run code under restrictions to limit that code’s access to system resources a non-restricted user-level process would otherwise have access to. This is especially useful when handling untrusted code provided by users (e.g., a PLC program) or 3<sup>rd</sup> parties (e.g., JavaScript from a remote web site), especially when supporting such code is a mandatory device function and cannot simply be forbidden (as in MID-051).

A sandbox runtime provides only filtered and managed access to system resources. For example, an untrusted program will not have direct access to invoke kernel syscalls, read or write to files, access network interfaces, etc. The runtime can then provide only limited access to specific constrained resources governed by security policy, which can significantly reduce the risk of executing untrusted code. These protections will make lateral movement to different processes more difficult for malicious code running within a sandbox, as the code has no access to memory in those processes and has very little, to no, access to privileged function calls. Malicious code will be unable to access and manipulate data, memory, and code outside the sandbox without first finding and exploiting a vulnerability in the sandbox itself. Mobile devices running iOS and Android are a widely used example of this, running all applications in individual sandboxes to protect user data from malicious applications \[1\]\[4\]. Another example is the WebAssembly (WASM) format, initially developed to allow compiled code to safely execute in a sandbox within a web browser (similar to how JavaScript code is sandboxed) \[5\]. WASM use is growing in popularity for other environments, such as embedded systems, that can benefit from its portability and sandboxing properties \[6\]. This includes WASM runtimes optimized for embedded systems such as the Bytecode Alliance’s WebAssembly Micro Runtime (WAMR) project \[7\].

Additionally, the abstraction provided by a sandbox can be used to prevent untrusted code from exploiting vulnerabilities that require low-level access to hardware (e.g., TID-103, TID-110). For example, in response to the Spectre and Meltdown vulnerabilities, web browsers deployed changes to their JavaScript engines to reduce the resolution of timers available to JavaScript code, reducing timer accuracy below the threshold necessary to successfully exploit the timing-based side channel \[2\]\[3\]. A similar change in Chromium-based browsers eliminates a form of RowHammer that researchers crafted using JavaScript and WebGL \[2\].",SAR / EDR / HDR / NDR 3.2 – Protection from malicious code
PID-2321,Device lacks an access enforcement/privilege mechanism,TID-204,Untrusted Programs Can Access Privileged OS Functions,"Without a correctly enforced operating system privilege model, a compromised or untrusted application program could access to data, memory, or programs associated with the underlying OS or other applications. This could also be used to further manipulate the underlying OS.",Security Issues In Compiled PLC Logic (CoDeSys & ProConOs) - Reid Wightman (Dragos) (at S4x23) (https://www.youtube.com/watch?v=3QGVlatumEc),,CWE-693,MID-014,Sandboxing,intermediate,"Sandboxes are software execution environments that run code under restrictions to limit that code’s access to system resources a non-restricted user-level process would otherwise have access to. This is especially useful when handling untrusted code provided by users (e.g., a PLC program) or 3<sup>rd</sup> parties (e.g., JavaScript from a remote web site), especially when supporting such code is a mandatory device function and cannot simply be forbidden (as in MID-051).

A sandbox runtime provides only filtered and managed access to system resources. For example, an untrusted program will not have direct access to invoke kernel syscalls, read or write to files, access network interfaces, etc. The runtime can then provide only limited access to specific constrained resources governed by security policy, which can significantly reduce the risk of executing untrusted code. These protections will make lateral movement to different processes more difficult for malicious code running within a sandbox, as the code has no access to memory in those processes and has very little, to no, access to privileged function calls. Malicious code will be unable to access and manipulate data, memory, and code outside the sandbox without first finding and exploiting a vulnerability in the sandbox itself. Mobile devices running iOS and Android are a widely used example of this, running all applications in individual sandboxes to protect user data from malicious applications \[1\]\[4\]. Another example is the WebAssembly (WASM) format, initially developed to allow compiled code to safely execute in a sandbox within a web browser (similar to how JavaScript code is sandboxed) \[5\]. WASM use is growing in popularity for other environments, such as embedded systems, that can benefit from its portability and sandboxing properties \[6\]. This includes WASM runtimes optimized for embedded systems such as the Bytecode Alliance’s WebAssembly Micro Runtime (WAMR) project \[7\].

Additionally, the abstraction provided by a sandbox can be used to prevent untrusted code from exploiting vulnerabilities that require low-level access to hardware (e.g., TID-103, TID-110). For example, in response to the Spectre and Meltdown vulnerabilities, web browsers deployed changes to their JavaScript engines to reduce the resolution of timers available to JavaScript code, reducing timer accuracy below the threshold necessary to successfully exploit the timing-based side channel \[2\]\[3\]. A similar change in Chromium-based browsers eliminates a form of RowHammer that researchers crafted using JavaScript and WebGL \[2\].",SAR / EDR / HDR / NDR 3.2 – Protection from malicious code
PID-23221,Device includes and enforces OS user accounts,TID-205,Existing OS Tools Maliciously Used for Device Manipulation,"If a threat actor has access to a valid OS account, they can utilize existing OS tools and system calls to install malicious code or manipulate device operations. If the account and privileges are not sufficiently restricted, the threat actor may be able to add their own tools, modify other application layer programs, or even execute commands with elevated privileges (e.g., setuid/setgid). Further, threat actors can perform a living-off-the-land attack, where they choose to only use pre-installed functionality and install nothing else on the device. These types of attacks can be hard to detect because malicious behavior may be implemented using tools and functions with legitimate purposes.",ATT&CK Technique: Graphical User Interface (T0823) (https://attack.mitre.org/techniques/T0823/); Volt Typhoon targets US critical infrastructure with living-off-the-land techniques (https://www.microsoft.com/en-us/security/blog/2023/05/24/volt-typhoon-targets-us-critical-infrastructure-with-living-off-the-land-techniques/),,CWE-693,MID-014,Sandboxing,intermediate,"Sandboxes are software execution environments that run code under restrictions to limit that code’s access to system resources a non-restricted user-level process would otherwise have access to. This is especially useful when handling untrusted code provided by users (e.g., a PLC program) or 3<sup>rd</sup> parties (e.g., JavaScript from a remote web site), especially when supporting such code is a mandatory device function and cannot simply be forbidden (as in MID-051).

A sandbox runtime provides only filtered and managed access to system resources. For example, an untrusted program will not have direct access to invoke kernel syscalls, read or write to files, access network interfaces, etc. The runtime can then provide only limited access to specific constrained resources governed by security policy, which can significantly reduce the risk of executing untrusted code. These protections will make lateral movement to different processes more difficult for malicious code running within a sandbox, as the code has no access to memory in those processes and has very little, to no, access to privileged function calls. Malicious code will be unable to access and manipulate data, memory, and code outside the sandbox without first finding and exploiting a vulnerability in the sandbox itself. Mobile devices running iOS and Android are a widely used example of this, running all applications in individual sandboxes to protect user data from malicious applications \[1\]\[4\]. Another example is the WebAssembly (WASM) format, initially developed to allow compiled code to safely execute in a sandbox within a web browser (similar to how JavaScript code is sandboxed) \[5\]. WASM use is growing in popularity for other environments, such as embedded systems, that can benefit from its portability and sandboxing properties \[6\]. This includes WASM runtimes optimized for embedded systems such as the Bytecode Alliance’s WebAssembly Micro Runtime (WAMR) project \[7\].

Additionally, the abstraction provided by a sandbox can be used to prevent untrusted code from exploiting vulnerabilities that require low-level access to hardware (e.g., TID-103, TID-110). For example, in response to the Spectre and Meltdown vulnerabilities, web browsers deployed changes to their JavaScript engines to reduce the resolution of timers available to JavaScript code, reducing timer accuracy below the threshold necessary to successfully exploit the timing-based side channel \[2\]\[3\]. A similar change in Chromium-based browsers eliminates a form of RowHammer that researchers crafted using JavaScript and WebGL \[2\].",SAR / EDR / HDR / NDR 3.2 – Protection from malicious code
PID-322,Device includes a program runtime environment for custom or external programs,TID-304,Manipulate Runtime Environment,"A threat actor can manipulate the runtime environments on a device to maintain persistence on the device and overwrite various functionalities, such as protocol handlers. If the application program (which the threat actor can deploy on the device through a program download) has access to memory where the runtime environment and libraries are located, they could overwrite these libraries with malicious code. This is especially risky because runtime environments often must allow the dynamic addition of modules/functions to support user-specific customization or configuration of devices, which may require that the runtime support writeable memory.

NOTE: This differs from TID-305 because this threat has a focus on code being used to manipulate the device runtime environment itself. TID-305 on the other hand pertains to a malicious program itself being used to perform device actions.",Security Issues In Compiled PLC Logic (CoDeSys & ProConOs) (https://www.youtube.com/watch?v=3QGVlatumEc),CVE-2022-4046; CVE-2022-4046; CVE-2023-28355; CVE-2023-28355,CWE-119,MID-014,Sandboxing,intermediate,"Sandboxes are software execution environments that run code under restrictions to limit that code’s access to system resources a non-restricted user-level process would otherwise have access to. This is especially useful when handling untrusted code provided by users (e.g., a PLC program) or 3<sup>rd</sup> parties (e.g., JavaScript from a remote web site), especially when supporting such code is a mandatory device function and cannot simply be forbidden (as in MID-051).

A sandbox runtime provides only filtered and managed access to system resources. For example, an untrusted program will not have direct access to invoke kernel syscalls, read or write to files, access network interfaces, etc. The runtime can then provide only limited access to specific constrained resources governed by security policy, which can significantly reduce the risk of executing untrusted code. These protections will make lateral movement to different processes more difficult for malicious code running within a sandbox, as the code has no access to memory in those processes and has very little, to no, access to privileged function calls. Malicious code will be unable to access and manipulate data, memory, and code outside the sandbox without first finding and exploiting a vulnerability in the sandbox itself. Mobile devices running iOS and Android are a widely used example of this, running all applications in individual sandboxes to protect user data from malicious applications \[1\]\[4\]. Another example is the WebAssembly (WASM) format, initially developed to allow compiled code to safely execute in a sandbox within a web browser (similar to how JavaScript code is sandboxed) \[5\]. WASM use is growing in popularity for other environments, such as embedded systems, that can benefit from its portability and sandboxing properties \[6\]. This includes WASM runtimes optimized for embedded systems such as the Bytecode Alliance’s WebAssembly Micro Runtime (WAMR) project \[7\].

Additionally, the abstraction provided by a sandbox can be used to prevent untrusted code from exploiting vulnerabilities that require low-level access to hardware (e.g., TID-103, TID-110). For example, in response to the Spectre and Meltdown vulnerabilities, web browsers deployed changes to their JavaScript engines to reduce the resolution of timers available to JavaScript code, reducing timer accuracy below the threshold necessary to successfully exploit the timing-based side channel \[2\]\[3\]. A similar change in Chromium-based browsers eliminates a form of RowHammer that researchers crafted using JavaScript and WebGL \[2\].",SAR / EDR / HDR / NDR 3.2 – Protection from malicious code
PID-3231,Device includes ability to run custom/external programs as native binary without a confined/restricted environment,TID-305,Program Executes Dangerous System Calls,"If the device allows the downloading and execution of native binaries on the device, a threat actor can deploy a malicious program that leverages the environment's privileges to gain unwanted or excessive access to the device, such as through ""dangerous"" system calls. These system calls could be used to manipulate the device's firmware, maintain persistence, execute unwanted logic, or obtain a C2 channel.

Additionally, the device may assume the program comes from a trusted integrated development environment (IDE), and therefore does not restrict the privileges or system calls the program can access. However, if the threat actor compiles the program without the IDE, they can violate this assumption.

NOTE: This differs from TID-304 because this threat has a focus on a malicious program itself being used to perform device actions. TID-304 on the other hand pertains to code being used to manipulate the device runtime environment itself.",ATT&CK Technique: Exploitation for Privilege Escalation (T0890) (https://attack.mitre.org/techniques/T0890/); ATT&CK Technique: Native API (T0834) (https://attack.mitre.org/techniques/T0834/),CVE-2018-8872; CVE-2018-8872,CWE-250,MID-014,Sandboxing,intermediate,"Sandboxes are software execution environments that run code under restrictions to limit that code’s access to system resources a non-restricted user-level process would otherwise have access to. This is especially useful when handling untrusted code provided by users (e.g., a PLC program) or 3<sup>rd</sup> parties (e.g., JavaScript from a remote web site), especially when supporting such code is a mandatory device function and cannot simply be forbidden (as in MID-051).

A sandbox runtime provides only filtered and managed access to system resources. For example, an untrusted program will not have direct access to invoke kernel syscalls, read or write to files, access network interfaces, etc. The runtime can then provide only limited access to specific constrained resources governed by security policy, which can significantly reduce the risk of executing untrusted code. These protections will make lateral movement to different processes more difficult for malicious code running within a sandbox, as the code has no access to memory in those processes and has very little, to no, access to privileged function calls. Malicious code will be unable to access and manipulate data, memory, and code outside the sandbox without first finding and exploiting a vulnerability in the sandbox itself. Mobile devices running iOS and Android are a widely used example of this, running all applications in individual sandboxes to protect user data from malicious applications \[1\]\[4\]. Another example is the WebAssembly (WASM) format, initially developed to allow compiled code to safely execute in a sandbox within a web browser (similar to how JavaScript code is sandboxed) \[5\]. WASM use is growing in popularity for other environments, such as embedded systems, that can benefit from its portability and sandboxing properties \[6\]. This includes WASM runtimes optimized for embedded systems such as the Bytecode Alliance’s WebAssembly Micro Runtime (WAMR) project \[7\].

Additionally, the abstraction provided by a sandbox can be used to prevent untrusted code from exploiting vulnerabilities that require low-level access to hardware (e.g., TID-103, TID-110). For example, in response to the Spectre and Meltdown vulnerabilities, web browsers deployed changes to their JavaScript engines to reduce the resolution of timers available to JavaScript code, reducing timer accuracy below the threshold necessary to successfully exploit the timing-based side channel \[2\]\[3\]. A similar change in Chromium-based browsers eliminates a form of RowHammer that researchers crafted using JavaScript and WebGL \[2\].",SAR / EDR / HDR / NDR 3.2 – Protection from malicious code
PID-2321,Device lacks an access enforcement/privilege mechanism,TID-204,Untrusted Programs Can Access Privileged OS Functions,"Without a correctly enforced operating system privilege model, a compromised or untrusted application program could access to data, memory, or programs associated with the underlying OS or other applications. This could also be used to further manipulate the underlying OS.",Security Issues In Compiled PLC Logic (CoDeSys & ProConOs) - Reid Wightman (Dragos) (at S4x23) (https://www.youtube.com/watch?v=3QGVlatumEc),,CWE-693,MID-015,Containerization,intermediate,"Some operating systems offer the ability to create containers that wrap small sets of applications in isolated partitions. Each container has its own view of system resources that is isolated from other containers and the host OS. Examples include Linux containers (LXC), Docker, BSD jails, etc. Container partitions are created by the host OS kernel which provides each container with isolated copies of various system resources, such as a unique guest filesystem, partitioned network stack, process ID space, user ID space, etc. Unlike virtualization (see MID-022), container systems do not need to provide virtualized views of hardware running separate full operating systems, instead abstracting at the level of a single kernel instance allows for lower performance overhead. However, OS kernels typically have a larger attack surface than a VM system’s hypervisor, so containers are generally considered to be a weaker form of isolation than virtualization \[2\]. Device designers should consider risk vs performance tradeoffs when selecting which isolation technology to implement, although both technologies can used in parallel to achieve the desired balance.

Containers offer several opportunities for security hardening. All the capabilities of MID-012 and MID-013 are available within each container partition. Furthermore, container filesystems can be stripped down to the bare minimum necessary for the applications within the container to function (see *MID-016 – Least Functionality*). So-called “rootless” container design patterns can be employed such that all processes within a container context run with unprivileged non-root user permissions. Host-side orchestration tools like Docker, can enforce additional security restrictions over container contexts when they are created \[1\]. For example, seccomp syscall filters can be applied to each container to restrict what kernel interfaces any process within that container may access, which reduces the opportunities for container breakout attacks \[4\]. Finally, device developers may consider utilizing non-persistent or immutable (read-only) container image design patterns. These increase the difficulty for attackers to establish a foothold within a container while simplifying the process of restoring containers to a known-good state through restarting containers from an integrity-checked known-good state periodically or in response to indicators of compromise.

<u>Note</u>: Containers can offer additional non-security benefits to device developers. The additional modularization they provide can make application development and maintenance more efficient, including making various devops practices more accessible to embedded device development workflows \[6\].",SAR / EDR / HDR / NDR 3.2 – Protection from malicious code; CR 3.4 – Software and information integrity
PID-23221,Device includes and enforces OS user accounts,TID-205,Existing OS Tools Maliciously Used for Device Manipulation,"If a threat actor has access to a valid OS account, they can utilize existing OS tools and system calls to install malicious code or manipulate device operations. If the account and privileges are not sufficiently restricted, the threat actor may be able to add their own tools, modify other application layer programs, or even execute commands with elevated privileges (e.g., setuid/setgid). Further, threat actors can perform a living-off-the-land attack, where they choose to only use pre-installed functionality and install nothing else on the device. These types of attacks can be hard to detect because malicious behavior may be implemented using tools and functions with legitimate purposes.",ATT&CK Technique: Graphical User Interface (T0823) (https://attack.mitre.org/techniques/T0823/); Volt Typhoon targets US critical infrastructure with living-off-the-land techniques (https://www.microsoft.com/en-us/security/blog/2023/05/24/volt-typhoon-targets-us-critical-infrastructure-with-living-off-the-land-techniques/),,CWE-693,MID-015,Containerization,intermediate,"Some operating systems offer the ability to create containers that wrap small sets of applications in isolated partitions. Each container has its own view of system resources that is isolated from other containers and the host OS. Examples include Linux containers (LXC), Docker, BSD jails, etc. Container partitions are created by the host OS kernel which provides each container with isolated copies of various system resources, such as a unique guest filesystem, partitioned network stack, process ID space, user ID space, etc. Unlike virtualization (see MID-022), container systems do not need to provide virtualized views of hardware running separate full operating systems, instead abstracting at the level of a single kernel instance allows for lower performance overhead. However, OS kernels typically have a larger attack surface than a VM system’s hypervisor, so containers are generally considered to be a weaker form of isolation than virtualization \[2\]. Device designers should consider risk vs performance tradeoffs when selecting which isolation technology to implement, although both technologies can used in parallel to achieve the desired balance.

Containers offer several opportunities for security hardening. All the capabilities of MID-012 and MID-013 are available within each container partition. Furthermore, container filesystems can be stripped down to the bare minimum necessary for the applications within the container to function (see *MID-016 – Least Functionality*). So-called “rootless” container design patterns can be employed such that all processes within a container context run with unprivileged non-root user permissions. Host-side orchestration tools like Docker, can enforce additional security restrictions over container contexts when they are created \[1\]. For example, seccomp syscall filters can be applied to each container to restrict what kernel interfaces any process within that container may access, which reduces the opportunities for container breakout attacks \[4\]. Finally, device developers may consider utilizing non-persistent or immutable (read-only) container image design patterns. These increase the difficulty for attackers to establish a foothold within a container while simplifying the process of restoring containers to a known-good state through restarting containers from an integrity-checked known-good state periodically or in response to indicators of compromise.

<u>Note</u>: Containers can offer additional non-security benefits to device developers. The additional modularization they provide can make application development and maintenance more efficient, including making various devops practices more accessible to embedded device development workflows \[6\].",SAR / EDR / HDR / NDR 3.2 – Protection from malicious code; CR 3.4 – Software and information integrity
PID-322,Device includes a program runtime environment for custom or external programs,TID-304,Manipulate Runtime Environment,"A threat actor can manipulate the runtime environments on a device to maintain persistence on the device and overwrite various functionalities, such as protocol handlers. If the application program (which the threat actor can deploy on the device through a program download) has access to memory where the runtime environment and libraries are located, they could overwrite these libraries with malicious code. This is especially risky because runtime environments often must allow the dynamic addition of modules/functions to support user-specific customization or configuration of devices, which may require that the runtime support writeable memory.

NOTE: This differs from TID-305 because this threat has a focus on code being used to manipulate the device runtime environment itself. TID-305 on the other hand pertains to a malicious program itself being used to perform device actions.",Security Issues In Compiled PLC Logic (CoDeSys & ProConOs) (https://www.youtube.com/watch?v=3QGVlatumEc),CVE-2022-4046; CVE-2022-4046; CVE-2023-28355; CVE-2023-28355,CWE-119,MID-015,Containerization,intermediate,"Some operating systems offer the ability to create containers that wrap small sets of applications in isolated partitions. Each container has its own view of system resources that is isolated from other containers and the host OS. Examples include Linux containers (LXC), Docker, BSD jails, etc. Container partitions are created by the host OS kernel which provides each container with isolated copies of various system resources, such as a unique guest filesystem, partitioned network stack, process ID space, user ID space, etc. Unlike virtualization (see MID-022), container systems do not need to provide virtualized views of hardware running separate full operating systems, instead abstracting at the level of a single kernel instance allows for lower performance overhead. However, OS kernels typically have a larger attack surface than a VM system’s hypervisor, so containers are generally considered to be a weaker form of isolation than virtualization \[2\]. Device designers should consider risk vs performance tradeoffs when selecting which isolation technology to implement, although both technologies can used in parallel to achieve the desired balance.

Containers offer several opportunities for security hardening. All the capabilities of MID-012 and MID-013 are available within each container partition. Furthermore, container filesystems can be stripped down to the bare minimum necessary for the applications within the container to function (see *MID-016 – Least Functionality*). So-called “rootless” container design patterns can be employed such that all processes within a container context run with unprivileged non-root user permissions. Host-side orchestration tools like Docker, can enforce additional security restrictions over container contexts when they are created \[1\]. For example, seccomp syscall filters can be applied to each container to restrict what kernel interfaces any process within that container may access, which reduces the opportunities for container breakout attacks \[4\]. Finally, device developers may consider utilizing non-persistent or immutable (read-only) container image design patterns. These increase the difficulty for attackers to establish a foothold within a container while simplifying the process of restoring containers to a known-good state through restarting containers from an integrity-checked known-good state periodically or in response to indicators of compromise.

<u>Note</u>: Containers can offer additional non-security benefits to device developers. The additional modularization they provide can make application development and maintenance more efficient, including making various devops practices more accessible to embedded device development workflows \[6\].",SAR / EDR / HDR / NDR 3.2 – Protection from malicious code; CR 3.4 – Software and information integrity
PID-3231,Device includes ability to run custom/external programs as native binary without a confined/restricted environment,TID-305,Program Executes Dangerous System Calls,"If the device allows the downloading and execution of native binaries on the device, a threat actor can deploy a malicious program that leverages the environment's privileges to gain unwanted or excessive access to the device, such as through ""dangerous"" system calls. These system calls could be used to manipulate the device's firmware, maintain persistence, execute unwanted logic, or obtain a C2 channel.

Additionally, the device may assume the program comes from a trusted integrated development environment (IDE), and therefore does not restrict the privileges or system calls the program can access. However, if the threat actor compiles the program without the IDE, they can violate this assumption.

NOTE: This differs from TID-304 because this threat has a focus on a malicious program itself being used to perform device actions. TID-304 on the other hand pertains to code being used to manipulate the device runtime environment itself.",ATT&CK Technique: Exploitation for Privilege Escalation (T0890) (https://attack.mitre.org/techniques/T0890/); ATT&CK Technique: Native API (T0834) (https://attack.mitre.org/techniques/T0834/),CVE-2018-8872; CVE-2018-8872,CWE-250,MID-015,Containerization,intermediate,"Some operating systems offer the ability to create containers that wrap small sets of applications in isolated partitions. Each container has its own view of system resources that is isolated from other containers and the host OS. Examples include Linux containers (LXC), Docker, BSD jails, etc. Container partitions are created by the host OS kernel which provides each container with isolated copies of various system resources, such as a unique guest filesystem, partitioned network stack, process ID space, user ID space, etc. Unlike virtualization (see MID-022), container systems do not need to provide virtualized views of hardware running separate full operating systems, instead abstracting at the level of a single kernel instance allows for lower performance overhead. However, OS kernels typically have a larger attack surface than a VM system’s hypervisor, so containers are generally considered to be a weaker form of isolation than virtualization \[2\]. Device designers should consider risk vs performance tradeoffs when selecting which isolation technology to implement, although both technologies can used in parallel to achieve the desired balance.

Containers offer several opportunities for security hardening. All the capabilities of MID-012 and MID-013 are available within each container partition. Furthermore, container filesystems can be stripped down to the bare minimum necessary for the applications within the container to function (see *MID-016 – Least Functionality*). So-called “rootless” container design patterns can be employed such that all processes within a container context run with unprivileged non-root user permissions. Host-side orchestration tools like Docker, can enforce additional security restrictions over container contexts when they are created \[1\]. For example, seccomp syscall filters can be applied to each container to restrict what kernel interfaces any process within that container may access, which reduces the opportunities for container breakout attacks \[4\]. Finally, device developers may consider utilizing non-persistent or immutable (read-only) container image design patterns. These increase the difficulty for attackers to establish a foothold within a container while simplifying the process of restoring containers to a known-good state through restarting containers from an integrity-checked known-good state periodically or in response to indicators of compromise.

<u>Note</u>: Containers can offer additional non-security benefits to device developers. The additional modularization they provide can make application development and maintenance more efficient, including making various devops practices more accessible to embedded device development workflows \[6\].",SAR / EDR / HDR / NDR 3.2 – Protection from malicious code; CR 3.4 – Software and information integrity
PID-23221,Device includes and enforces OS user accounts,TID-205,Existing OS Tools Maliciously Used for Device Manipulation,"If a threat actor has access to a valid OS account, they can utilize existing OS tools and system calls to install malicious code or manipulate device operations. If the account and privileges are not sufficiently restricted, the threat actor may be able to add their own tools, modify other application layer programs, or even execute commands with elevated privileges (e.g., setuid/setgid). Further, threat actors can perform a living-off-the-land attack, where they choose to only use pre-installed functionality and install nothing else on the device. These types of attacks can be hard to detect because malicious behavior may be implemented using tools and functions with legitimate purposes.",ATT&CK Technique: Graphical User Interface (T0823) (https://attack.mitre.org/techniques/T0823/); Volt Typhoon targets US critical infrastructure with living-off-the-land techniques (https://www.microsoft.com/en-us/security/blog/2023/05/24/volt-typhoon-targets-us-critical-infrastructure-with-living-off-the-land-techniques/),,CWE-693,MID-016,Least Functionality,foundational,"Removing all unnecessary programs or features can greatly limit the amount of tools available on a device for adversaries to potentially use. For example, by removing a compiler, unnecessary code, device drivers, or unnecessary binaries from a device, adversaries won't be able to leverage that functionality into device exploits. If devices starve the threat actors of available tools, it will be more difficult for them to leverage capabilities into malicious activity.

<u>Limitations:</u> Many device functions that could be abused by a threat actor are necessary to support the device’s core operational or management functions and therefore cannot be removed.",CR 7.7 – Least functionality
